"team_id","opp_team_id","season","team","opp_team","outcome","win.","opp_win.","team_home_win.","team_away_win.","opp_home_win.","opp_away_win.","team_seed","opp_seed","team_conf","opp_conf","score","opp_score","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","opp_fgm","opp_fga","opp_fgm3","opp_fga3","opp_ftm","opp_fta","opp_or","opp_dr","opp_ast","opp_to","opp_stl","opp_blk","opp_pf"
"1421_2003","1411_2003",2003,1421,1411,1,0.448275862,0.6,0.833333333,0.125,0.785714286,0.333333333,16,16,"X","X",71.20689655,72.8,24.37931034,56.79310345,6.482758621,18,15.96551724,20.93103448,12.27586207,23.17241379,13.03448276,16.20689655,7.068965517,3,19.10344828,24.73333333,55.26666667,5.933333333,18.5,17.4,28.06666667,13.16666667,24.8,14.2,15.23333333,6.433333333,2.233333333,18.3
"1113_2003","1272_2003",2003,1113,1272,1,0.620689655,0.793103448,0.8,0.4,0.875,0.636363636,10,7,"Z","Z",75.96551724,74.51724138,27.20689655,56.89655172,4,12.5862069,17.55172414,26.20689655,13.68965517,23.31034483,15.55172414,14,5.206896552,4.24137931,19.4137931,26.27586207,60,7,20.06896552,14.96551724,22.89655172,14.06896552,25.96551724,16.62068966,13.79310345,7.379310345,5.068965517,18.75862069
"1143_2003","1301_2003",2003,1143,1301,1,0.724137931,0.6,0.928571429,0.636363636,0.8125,0.3,8,9,"W","W",74.48275862,72.4,27.34482759,58.72413793,6.413793103,17.03448276,13.37931034,19.51724138,11.24137931,24.37931034,16,14.17241379,6.551724138,2.793103448,17.10344828,24.33333333,53.33333333,7.966666667,22.5,15.76666667,20.46666667,9.733333333,22.03333333,14.66666667,14.2,7.766666667,3.066666667,18.66666667
"1181_2003","1161_2003",2003,1181,1161,1,0.8,0.566666667,1,0.333333333,0.75,0.25,3,14,"Z","Z",81.96666667,74,27.36666667,60.33333333,7.333333333,20.6,19.9,28.06666667,13.76666667,23.1,13.83333333,14.03333333,8.5,5.133333333,21.26666667,26.4,52.1,4.2,11.56666667,17,24.26666667,10.8,23.46666667,15.5,16.13333333,5.333333333,4.233333333,20.56666667
"1228_2003","1443_2003",2003,1228,1443,1,0.8,0.741935484,1,0.333333333,1,0.416666667,4,13,"Z","Z",75.43333333,73.09677419,27.1,55.8,7.433333333,20.16666667,13.8,19.1,9.733333333,25.4,18.26666667,13.16666667,7,3.1,19.13333333,25.70967742,55.90322581,7.709677419,21.03225806,13.96774194,21.09677419,12.16129032,23.25806452,14.19354839,15.16129032,7.064516129,3.548387097,18.4516129
"1266_2003","1221_2003",2003,1266,1221,1,0.821428571,0.862068966,0.9375,0.7,1,0.769230769,3,14,"Y","Y",78.39285714,69.34482759,27.21428571,56.25,5.785714286,15.25,18.17857143,23.60714286,13.10714286,24.07142857,16.32142857,13.57142857,6,3.642857143,18.64285714,24.20689655,52.72413793,5.310344828,14.75862069,15.62068966,22.13793103,12.06896552,24.31034483,15.4137931,13.93103448,7.965517241,4.482758621,18.37931034
"1323_2003","1454_2003",2003,1323,1454,1,0.709677419,0.766666667,0.875,0.4,1,0.6,5,12,"Z","Z",80.09677419,77.1,27.22580645,60.67741935,8.290322581,21.77419355,17.35483871,22.83870968,11.38709677,26.87096774,16.90322581,12.77419355,7.451612903,5.64516129,16.22580645,27.26666667,57.63333333,7.766666667,21.8,14.8,21.43333333,11.53333333,23,17.1,14.86666667,8.8,3.6,20.13333333
"1390_2003","1360_2003",2003,1390,1360,1,0.741935484,0.607142857,0.823529412,0.7,0.615384615,0.6,4,13,"X","X",72.25806452,74.67857143,25.64516129,58.03225806,6.935483871,19.38709677,14.03225806,20.77419355,13.74193548,25.12903226,14.64516129,14.32258065,5.516129032,3.35483871,18.51612903,25.21428571,53.53571429,6.928571429,18.03571429,17.32142857,26.32142857,11.53571429,26.35714286,16.39285714,18.17857143,5.392857143,3.428571429,20.14285714
"1458_2003","1451_2003",2003,1458,1451,1,0.75862069,0.862068966,0.941176471,0.545454545,1,0.75,5,12,"Y","Y",70.72413793,74.20689655,25.03448276,53.89655172,6.24137931,17.37931034,14.4137931,19.44827586,10.31034483,22.55172414,13.31034483,10.51724138,6.965517241,2.827586207,14.82758621,24.62068966,52.86206897,6.103448276,18.20689655,18.86206897,25.68965517,10.34482759,22.75862069,14.27586207,12.44827586,6.75862069,0.655172414,18.86206897
"1139_2003","1280_2003",2003,1139,1280,1,0.827586207,0.7,1,0.666666667,0.857142857,0.4,12,5,"W","W",68.5862069,70.16666667,24.06896552,50.65517241,8.482758621,21.86206897,11.96551724,16.55172414,7.827586207,20.37931034,12.96551724,10.4137931,6.344827586,1.862068966,16.06896552,26.33333333,55.8,5.566666667,16.2,11.93333333,17.63333333,12.66666667,24.6,14.5,15.63333333,8.733333333,3.733333333,15.9
"1231_2003","1104_2003",2003,1231,1104,1,0.625,0.607142857,0.916666667,0.181818182,0.866666667,0.111111111,7,10,"Y","Y",70.53125,69.28571429,23.4375,54.9375,7.53125,21.625,16.125,22.625,11.21875,25.625,13.8125,11.5,4.4375,5.34375,18.0625,24.03571429,57.17857143,6.357142857,19.85714286,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,13.28571429,6.607142857,3.785714286,18.03571429
"1257_2003","1122_2003",2003,1257,1122,1,0.8,0.740740741,0.888888889,0.727272727,1,0.461538462,4,13,"W","W",81.83333333,69.7037037,27.96666667,60.83333333,8.433333333,23.4,17.46666667,25.1,13.2,25.1,16.6,13.36666667,7.2,4.733333333,22.66666667,23.55555556,52.07407407,6,17.18518519,16.59259259,24,10.62962963,24.22222222,13.40740741,15.22222222,7.037037037,4.666666667,18.66666667
"1277_2003","1160_2003",2003,1277,1160,1,0.612903226,0.64516129,0.875,0.333333333,0.933333333,0.25,7,10,"X","X",67.22580645,75.51612903,23.03225806,51.09677419,4.903225806,13.38709677,16.25806452,22.12903226,10.67741935,24.25806452,13.61290323,14.5483871,6.387096774,3.709677419,20.03225806,27.19354839,61.32258065,4.967741935,15.25806452,16.16129032,23.93548387,14.48387097,27.96774194,13.38709677,14,6.129032258,6.64516129,17.70967742
"1338_2003","1447_2003",2003,1338,1447,1,0.866666667,0.677419355,1,0.636363636,0.933333333,0.4375,2,15,"Y","Y",74.6,75.5483871,26.86666667,53.5,6.366666667,17.76666667,14.5,22.8,11.3,25.36666667,17.76666667,15.1,8.066666667,4.1,17.96666667,27.22580645,57.67741935,7.032258065,18.32258065,14.06451613,19.29032258,12,22.35483871,16.09677419,14.96774194,7.516129032,2.806451613,17.58064516
"1393_2003","1264_2003",2003,1393,1264,1,0.827586207,0.793103448,1,0.666666667,0.777777778,0.8,3,14,"W","W",80.10344828,76.17241379,29.24137931,62.20689655,5.24137931,15.86206897,16.37931034,23.62068966,14.31034483,26.89655172,14.96551724,13.62068966,8.310344828,7.275862069,16.5862069,25.93103448,57.55172414,5.517241379,15.82758621,18.79310345,23.89655172,11.31034483,23.31034483,13.86206897,14.20689655,9.172413793,3.896551724,21.93103448
"1428_2003","1332_2003",2003,1428,1332,1,0.766666667,0.71875,0.933333333,0.636363636,0.875,0.454545455,9,8,"Y","Y",66.73333333,82.21875,23.16666667,50.73333333,7.166666667,18.76666667,13.23333333,18.8,10.13333333,23.2,13.2,12.7,4.666666667,3.766666667,20.1,28.59375,62,9,23,16.03125,20.65625,11.375,24.5,17.46875,15.21875,8.03125,2.78125,20.9375
"1462_2003","1407_2003",2003,1462,1407,1,0.833333333,0.833333333,0.933333333,0.833333333,0.9,0.8,3,14,"X","X",78.23333333,79.36666667,26.8,59.2,6.433333333,17.76666667,18.2,24.36666667,13.93333333,25.5,16.4,13.03333333,5.466666667,3.033333333,15.76666667,28.23333333,65.33333333,9.466666667,28.33333333,13.43333333,19.53333333,15.06666667,24.7,15.06666667,13.73333333,9.533333333,5.2,16.6
"1163_2003","1390_2003",2003,1163,1390,1,0.7,0.741935484,0.875,0.454545455,0.823529412,0.7,5,4,"X","X",80.03333333,72.25806452,29.53333333,62.2,6.066666667,15.7,14.9,22.1,14.76666667,27.9,15.63333333,15.8,5.933333333,7.733333333,18.4,25.64516129,58.03225806,6.935483871,19.38709677,14.03225806,20.77419355,13.74193548,25.12903226,14.64516129,14.32258065,5.516129032,3.35483871,18.51612903
